iata,time_zone_id,name,city_code,country_id,location,elevation,icao,city,state
GGB,America/Cuiaba,Água Boa,GGB,BR,POINT (-52.15026599220484 -14.01962765),1479,,Mozarlandia,Goias
GGF,America/Santarem,Almeirim,GGF,BR,POINT (-52.57808006493803 -1.47928445),597,,,
GGH,America/Sao_Paulo,Gastão Mesquita Airport,GGH,BR,POINT (-52.642222 -23.691667),1692,,Cianorte,Parana
GGJ,America/Sao_Paulo,Guaíra Airport,GGJ,BR,POINT (-54.19114629441818 -24.080879449999998),862,SSGY,Salto del Guaira,Canindeyu
HRZ,America/Sao_Paulo,Horizontina,HRZ,BR,POINT (-54.34020485995269 -27.637036000000002),990,SSHZ,Horizontina,Rio Grande do Sul
TEC,America/Sao_Paulo,Telemaco Borba,TEC,BR,POINT (-50.65176291354726 -24.31767995),2610,SSVL,Telemaco Borba,Parana
ITQ,America/Sao_Paulo,Itaqui,ITQ,BR,POINT (-56.540659559488645 -29.17210465),213,SSIQ,Itaqui,Rio Grande do Sul
JOI,America/Sao_Paulo,Joinville-Lauro Carneiro de Loyola Airport,JOI,BR,POINT (-48.79862231685878 -26.2249688),15,SBJV,Joinville,Santa Catarina
JPR,America/Porto_Velho,Ji-Parana Airport,JPR,BR,POINT (-61.84667 -10.870556),598,SBJI,Ji Parana,Rondonia
JRT,America/Manaus,Juruti Airport,JRT,BR,POINT (-56.0902786255 -2.1866669655),0,,Juruti,Para
JPA,America/Fortaleza,Presidente Castro Pinto International Airport,JPA,BR,POINT (-34.95030583440195 -7.148930699999999),217,SBJP,Bayeux,Paraiba
IGU,America/Sao_Paulo,Cataratas International Airport,IGU,BR,POINT (-54.49060873125 -25.5930616),757,SBFI,Puerto Iguazu,Misiones
JTI,America/Sao_Paulo,Jatai,JTI,BR,POINT (-51.774723 -17.829445),2529,SWJW,Jatai,Goias
IJU,America/Sao_Paulo,J. Batista Bos Filho Airport,IJU,BR,POINT (-53.916668 -28.416668),1227,SSIJ,Ijui,Rio Grande do Sul
JTC,America/Sao_Paulo,Bauru-Arealva Airport,JTC,BR,POINT (-49.07515943787047 -22.15705835),1962,SBAE,Bauru,Sao Paulo
ILB,America/Campo_Grande,Ilha Solteira,ILB,BR,POINT (-51.333332 -20.333332),1056,,Ilha Solteira,Sao Paulo
IMP,America/Fortaleza,Imperatriz Airport,IMP,BR,POINT (-47.45800807097166 -5.5301267),390,SBIZ,Imperatriz,Maranhao
IOS,America/Bahia,Ilheus/Bahia-Jorge Amado Airport,IOS,BR,POINT (-39.03 -14.813889),13,SBIL,Ilheus,Bahia
IPG,America/Manaus,Ipiranga,IPG,BR,POINT (-65.95 -3.216667),265,SWII,Fonte Boa,Amazonas
IPN,America/Sao_Paulo,Usiminas Airport,IPN,BR,POINT (-42.533333 -19.5),725,SBIP,Ipatinga,Minas Gerais
IPU,America/Bahia,Ipiau,IPU,BR,POINT (-39.733334 -14.133333),410,SNIU,Ipiau,Bahia
IRE,America/Bahia,Irece,IRE,BR,POINT (-41.86667 -11.3),2316,SNIC,Irece,Bahia
IRZ,America/Manaus,Tapuruquara,IRZ,BR,POINT (-64.99261880076497 -0.37810525),137,SWTP,Santa Isabel do Rio Negro,Amazonas
ITA,America/Manaus,Itacoatiara,ITA,BR,POINT (-58.416668 -3.133333),62,SBIC,Itacoatiara,Amazonas
ITB,America/Santarem,Itaituba,ITB,BR,POINT (-55.983334 -4.283333),22,SBIH,Itaituba,Para
ITE,America/Bahia,Itubera,ITE,BR,POINT (-39.2 -13.7),554,SNZW,Itubera,Bahia
